logCPM	PValue	FDR	log2FoldChange
PROX2	1.79334585195979	5.24951222971991e-17	1.75844211496819e-15	-2.288
CSTA	3.29925123668225	7.99085613681042e-17	2.66206331448195e-15	-1.358
KIF15	5.58014926883846	9.75220761467176e-17	3.2383131010589e-15	-0.778
MVP	6.05159581344891	9.75609227422435e-17	3.2383131010589e-15	-0.7044
TMEM71	3.14122007403752	1.04016825267839e-16	3.44633604734969e-15	-1.4764
REEP6	4.14656335485055	1.0689712521965e-16	3.53535130074264e-15	-1.0421
CA12	2.93383619240194	1.07553557606246e-16	3.55062883844418e-15	-1.4664
GATM	2.86727648103399	1.14506861531818e-16	3.77335246231925e-15	-1.4859
CERCAM	4.89356346020831	1.16652749690608e-16	3.83713981684999e-15	-0.8121
PRSS21	4.09300097199565	1.43537017576897e-16	4.69607848187065e-15	-1.0152
ACP6	4.73666886770259	1.45914082079368e-16	4.75679907578739e-15	-0.8419
CST3	6.06532851222161	1.64869443187184e-16	5.35561664559649e-15	-0.6861
MINOS1	6.36636203899393	1.85024415937286e-16	5.97841723424973e-15	-0.7828
SKAP2	6.40370313980016	2.05027792499222e-16	6.58976651384822e-15	-0.6783
CCNL2	6.01868011573524	2.21411727899422e-16	7.0419730044109e-15	-0.7395
C9orf16	4.95627825905748	2.22463971620125e-16	7.06313437547306e-15	-0.807
TKT	9.56354670475814	2.32690332898665e-16	7.37499082881604e-15	-0.706
PTN	3.39742302307923	3.16874483576436e-16	9.95673076105236e-15	-1.7129
STEAP4	2.12731991677298	3.43113307384312e-16	1.07442136185386e-14	-1.9186
CCK	0.622167439398588	3.49297528583294e-16	1.09191364414668e-14	-4.6742
PRKCDBP	4.11667013354399	3.78107932073781e-16	1.17593499283457e-14	-1.1203
BSG	9.04442274925366	4.3700756102234e-16	1.35680442755507e-14	-0.6837
