logCPM	PValue	FDR	log2FoldChange
SMIM14	6.15099317036546	1.38260848806276e-51	6.73090681548635e-50	1.852
FGA	2.52221511156499	1.76720182360073e-51	8.55756936118167e-50	5.5331
CYP2C9	2.3381643345028	2.19291017341137e-51	1.05629995054876e-49	10.0112
EDAR	2.31663026406468	2.29751461796262e-51	1.10377439119804e-49	7.6659
ZNF189	5.24024509071344	3.24383914218517e-51	1.55431830392999e-49	1.9985
FLRT3	4.80824741888972	3.5642045730686e-51	1.69890649310549e-49	2.0362
HNF1A-AS1	2.39232107478531	4.68706460255123e-51	2.21676298922734e-49	6.3548
ASAP3	3.62742596658216	7.95269470277238e-51	3.75153474144219e-49	2.8323
MCAM	5.8315506118855	9.21400353578551e-51	4.33533114817784e-49	1.7878
RAC1	9.71660840252384	1.52442925019874e-50	7.11764204389467e-49	1.7171
DLX3	2.61503447400287	2.69383542258199e-50	1.25136538103452e-48	4.8976
CAT	5.51855128413268	4.69988106478671e-50	2.17217794224674e-48	1.7911
FLJ31356	2.74873278329262	6.91777893619528e-50	3.18113280249826e-48	4.2565
NMRK1	5.02049731958051	1.00776509627509e-49	4.61096731769373e-48	2.0098
GSG1	2.49915308637364	3.36237561545015e-49	1.53076132757252e-47	5.5082
LLGL2	6.40057579751966	3.45432433914595e-49	1.56871007799623e-47	1.6218
C12orf75	7.19136988762108	3.53286601644362e-49	1.60039707186588e-47	1.708
LOC100506178	4.41261342486566	6.10273188120232e-49	2.75770973324825e-47	2.2852
SYNGR1	2.47945123020653	7.08070160629652e-49	3.19173551912468e-47	5.4875
RAB11FIP5	5.37186847263644	7.21646699181653e-49	3.24492170942371e-47	1.8609
GAB1	5.49169023733741	1.2446320182883e-48	5.58280150512807e-47	1.7141
BLVRA	5.07428857371574	1.64349102428695e-48	7.35381670082906e-47	2.0447
HIST1H2AC	4.11142434257147	2.94519407774405e-48	1.30821078061546e-46	2.2904
UGT2B7	2.14682841902407	4.46073657246274e-48	1.96703398229178e-46	9.8147
IL1RAP	5.29691201653368	6.17632482580508e-48	2.71698761493729e-46	1.787
RNASET2	4.77552430818218	7.04457247309712e-48	3.09148353530916e-46	1.8939
VPS13A	7.40211939468771	7.11966968485287e-48	3.11694699680273e-46	1.6049
CALCOCO1	4.96529446743943	8.70223405497192e-48	3.80066949539635e-46	2.199
ULK1	4.60799217546324	1.00334350831311e-47	4.37160837416807e-46	1.9666
IQCE	5.81625977859098	1.77205385374142e-47	7.70252741759606e-46	1.7466
TTC39A	4.74340794527339	2.56087494975083e-47	1.10785149484955e-45	1.9086
ERO1LB	2.51322756904722	3.65423972554768e-47	1.56968942187291e-45	4.7894
CHMP1B2P	3.31964818721495	5.35295105699107e-47	2.28860596010372e-45	3.0399
PIK3AP1	4.50425145479613	6.6970999378553e-47	2.85659477723099e-45	2.0572
PPAP2A	3.95668480142915	7.4078890087602e-47	3.15241076326168e-45	2.4103
TBC1D16	5.12597923862062	9.26864994073193e-47	3.92595065703021e-45	1.8361
RASSF8	4.86729199276235	1.0418950615773e-46	4.40297135281368e-45	1.8461
SLC4A3	2.83198390856799	1.67688195511404e-46	7.05372280473777e-45	3.7631
FUT4	4.40455682272483	3.64548312213209e-46	1.51945068213798e-44	2.1053
RAB20	4.27072027447079	6.17916793255331e-46	2.56963302452604e-44	2.3017
LINC00673	5.11710588074888	1.77022831755996e-45	7.29509890866243e-44	1.8219
ACMSD	3.01017462015861	2.0700193835114e-45	8.51132294265407e-44	3.351
NCMAP	3.45587769943881	3.52308866853931e-45	1.44533722995177e-43	2.9547
GET4	6.8169471128149	3.71149629411772e-45	1.51921695841733e-43	1.5882
ERBB3	7.2656181311096	5.60099729189623e-45	2.27226236801906e-43	1.8083
CXXC5	5.38012593909129	6.89429586061274e-45	2.79073758827819e-43	1.6729
FARP1	5.30986444831201	3.1148527014271e-44	1.23350869668662e-42	1.6432
RASSF2	4.93019038610595	3.54492606927897e-44	1.40078290737569e-42	1.9749
ZDBF2	4.2864495389072	3.72685290919138e-44	1.46949085767166e-42	2.5873
DHRS3	5.53724027451584	3.79621000411791e-44	1.49361228093053e-42	1.9882
CACNG6	2.78267662562379	4.06715485792546e-44	1.59334719069286e-42	4.6895
TGM2	6.40447785869523	7.74006623749095e-44	3.01928737674433e-42	1.5317
GLRB	4.3386344919923	7.96853237751045e-44	3.10178096127571e-42	2.0538
TENM3	2.0230480549271	1.37699381886213e-43	5.32593202481927e-42	9.686
VWDE	4.17821909311147	1.67783169333777e-43	6.47579183796496e-42	2.1866
LINC01508	5.11921113383419	2.41870224982716e-43	9.29596384691464e-42	1.7704
GDF15	4.23156828400525	2.49469922346127e-43	9.5679052570397e-42	2.167
CA2	2.02298719042337	3.12576085445359e-43	1.19630796978836e-41	9.6859
PLEKHA1	5.69740522118739	8.06429209568354e-43	3.0480686645714e-41	1.588
C11orf63	2.17062786573471	1.02708720948922e-42	3.8740710943048e-41	7.515
CTIF	3.62975048488558	1.55171609841942e-42	5.82883314665534e-41	2.9473
CASZ1	3.45289578691622	2.21413166524455e-42	8.28303026243945e-41	2.852
CACHD1	2.78825416072406	6.73430015838241e-42	2.47865692926269e-40	3.777
COL27A1	4.05048147964524	8.60767459283623e-42	3.14283414733637e-40	2.4012
TYMP	3.76975096480539	1.23396803204791e-41	4.4785925234725e-40	2.4133
PTGS1	3.62476178783015	1.32783992929136e-41	4.80020707903822e-40	2.5387
LPGAT1	7.24984678812155	1.54141472140996e-41	5.55030910336492e-40	1.4339
MAPK9	6.48169683671744	1.60352080999005e-41	5.76257399747604e-40	1.4732
CYP1B1	4.77258138983915	4.00735652248434e-41	1.42887306004832e-39	1.752
RELN	1.8961069950933	4.01806409814101e-41	1.4298982100519e-39	9.5549
TMEM106B	6.72776507129351	4.5302835899373e-41	1.60904391474505e-39	1.5563
PTPN13	7.2442951626644	4.70344032526106e-41	1.66730109860128e-39	1.43
NATD1	2.61602086930489	5.60984282988637e-41	1.9809147137796e-39	3.9456
ATP13A3	8.60629485760209	6.88693532897077e-41	2.42250272380906e-39	1.5586
PKD2	5.18959139114664	7.06012464544712e-41	2.47388935752942e-39	1.6397
PNPLA2	4.59058125164847	8.37372007345402e-41	2.92855620040185e-39	1.9752
DENND1B	5.30648007460674	8.39271575882672e-41	2.92958735933347e-39	1.6045
FOXC1	3.89873646474749	8.95313214535952e-41	3.11924390163518e-39	2.3722
APOL2	6.5066909061361	9.31138811640511e-41	3.23788002767794e-39	1.5226
TRIQK	4.84379621821482	9.70085461514199e-41	3.3668973736508e-39	1.8488
ZNF618	5.13388335614524	1.1797311514178e-40	4.08674988620177e-39	1.6788
RAB40B	3.76916922797073	1.41754052495138e-40	4.90125375445312e-39	2.3978
LOC80078	2.36002574159091	1.42260378600201e-40	4.90946213936722e-39	4.4861
AMN	2.60216866178272	2.12629125419371e-40	7.2692084525394e-39	3.7771
MXD4	4.48185978231178	4.62303950949195e-40	1.57166125298482e-38	1.8711
SERPINE2	4.43278392296235	4.97583333836974e-40	1.688453781139e-38	1.9706
CDC14B	6.28327514819923	5.44467838642072e-40	1.83730219265243e-38	1.5008
PCMTD1	5.22093529264022	1.08214130688262e-39	3.62487554099984e-38	1.6185
SBF2	4.94062983689762	2.98588806595625e-39	9.89298957025361e-38	1.6413
PGBD5	3.94037459737515	3.16200729266276e-39	1.04575371621107e-37	2.1408
EPHA6	2.21907544293636	3.94014783015408e-39	1.30074753684074e-37	5.7791
WSB1	6.75293915638021	4.1874813206642e-39	1.37990359187808e-37	1.4404
NAALADL2	4.48854131112499	9.63400137011294e-39	3.15194138015738e-37	1.8633
FCGR2A	2.3757927660492	9.79069568601281e-39	3.19747657323524e-37	4.2563
RPS6KA6	3.97400329753026	1.26208648953422e-38	4.11440195588157e-37	2.0657
KIAA0895	4.37895999566175	1.26812738744744e-38	4.12672612927639e-37	1.8671
KYNU	4.75185768369766	1.33909084167697e-38	4.34217449478771e-37	1.888
HFE	2.851645155183	1.59296934626896e-38	5.15624971373868e-37	3.2142
NTN4	7.4311418865088	1.68978273121895e-38	5.4599422196696e-37	1.4067
DIRAS2	1.78853336532416	1.77149489388839e-38	5.71385349519903e-37	9.4428
ABCC3	7.66229579759037	1.78838741833055e-38	5.75816590988405e-37	1.5147
UNC5CL	4.18297184439664	2.13504968667047e-38	6.83815211927301e-37	1.9491
ELF3	8.36801523327405	2.18604909800339e-38	6.98923158198771e-37	1.4381
CASC1	2.56005522091267	2.65205132184853e-38	8.44953733536942e-37	3.6614
KLF9	3.71053632185089	2.75228775847837e-38	8.75361765135559e-37	2.6437
C2CD4A	2.63019993103326	2.83960732638311e-38	9.01562980007828e-37	4.1276
ASZ1	1.80458988725333	5.14002457080946e-38	1.62627883127725e-36	9.4598
ID1	7.79376607761478	5.79639848188067e-38	1.83077942361961e-36	1.4172
CDK19	5.03283326936304	6.65351811688179e-38	2.09425218520334e-36	1.6358
LFNG	5.12540206502537	8.76186188090921e-38	2.74368011145589e-36	2.0184
PHEX	3.08658731811933	1.02640569792328e-37	3.20308759338247e-36	2.8011
TSLP	2.24870511108656	1.15927145892529e-37	3.59926186294899e-36	4.5055
TP53INP1	4.23718122670366	1.24090513291578e-37	3.84617387207308e-36	2.0847
