Description	subcategory	GeneRatio	p.adjust	qvalue	geneID	Count
hsa04210	Apoptosis	Cell growth and death	54/2118	3.80442409856841e-05	2.1350476512518e-05	330/1520/597/4792/843/8743/4217/8795/637/1514/27113/153090/1649/2081/1508/2353/317/8722/3551/7132/1509/9451/3710/1512/842/8797/823/5290/1647/10039/1075/5595/329/5293/143/578/10018/355/7157/841/4170/55367/840/10000/1513/8739/5599/5970/7186/5291/5604/4790/3709/8503	54
hsa04512	ECM-receptor interaction	Signaling molecules and interaction	39/2118	3.98790579812999e-05	2.23801781481586e-05	3678/3339/1298/3914/6385/3696/961/6696/3694/2335/375790/3918/3915/1282/6382/3913/10319/3911/7059/341640/3672/1101/3685/3693/3691/3675/3371/1292/1284/9900/63923/3910/3688/5649/960/1277/3674/3676/3912	39
hsa04936	Alcoholic liver disease	Endocrine and metabolic disease	56/2118	3.98790579812999e-05	2.23801781481586e-05	718/3576/2919/3553/2921/3929/2920/4792/3569/9641/4217/5562/217/5465/5606/5564/9663/23643/29110/51/3551/5603/7132/727/6300/83439/929/5563/5608/2309/6934/64900/32/257397/355/5600/5565/51135/2308/23765/841/728/6885/10000/1432/1571/37/84818/5599/5970/51094/4790/1375/23118/10454/7189	56
hsa01521	EGFR tyrosine kinase inhibitor resistance	Drug resistance: antineoplastic	36/2118	4.1874141737268e-05	2.34998216939014e-05	6774/7422/3569/2261/6714/2065/7039/558/6655/3717/2549/5290/673/2309/3716/80310/25759/6654/5595/4233/5293/5155/4763/10018/1950/2885/53358/10000/5728/399694/5582/2064/5291/5604/6464/8503	36
hsa04917	Prolactin signaling pathway	Endocrine system	33/2118	4.23262515911848e-05	2.37535463199429e-05	9021/6774/6776/6714/2353/3659/8651/6655/5603/3717/6300/6772/5290/2309/25759/6654/5595/30837/5293/5600/2885/53358/10000/1432/399694/5599/5970/5291/5604/6777/4790/6464/8503	33
hsa05131	Shigellosis	Infectious disease: bacterial	87/2118	4.9508572007662e-05	2.77842736885104e-05	718/3576/3553/3678/5330/834/58528/4792/837/9267/8767/10318/664/6714/4193/3554/55062/29110/3551/8976/10616/5603/7132/3099/25851/6300/3710/7100/10241/929/10392/5217/823/5290/2309/4303/10627/7188/5879/5580/26100/8878/5595/10092/10398/5293/257397/5600/5333/2308/10163/7157/9181/27128/3688/8945/103910/4636/6885/7335/51196/10000/100132074/5747/9252/1432/960/9266/1437/653857/5599/23236/81631/5970/7186/5291/375/4790/83660/3059/3709/1399/23118/23048/8503/10454/7189	87
hsa04935	Growth hormone synthesis, secretion and action	Endocrine system	49/2118	4.95389201021445e-05	2.78013050777999e-05	3486/9021/6774/5330/6776/112/64764/2770/3726/5606/2353/8651/6655/5603/3717/6300/3710/6772/5608/5290/25759/6654/4214/5595/2776/5293/5600/2885/53358/778/10000/5747/1432/113/196883/399694/5599/23236/776/5582/5291/5604/6777/6753/3709/6464/1399/148327/8503	49
hsa05160	Hepatitis C	Infectious disease: viral	60/2118	5.21257530717897e-05	2.92530390361932e-05	4939/5522/4938/4600/4599/9076/9021/6774/3455/4792/4940/9069/9641/6773/5465/637/10379/317/7098/3434/1366/29110/6256/3551/3665/6655/1026/6041/7132/9451/6772/975/842/5290/673/91543/3716/1364/6654/10686/5595/5293/578/355/1950/7157/3454/841/2885/5520/10000/5970/7186/5291/5604/4790/8503/27102/5610/7189	60
hsa05146	Amoebiasis	Infectious disease: parasitic	43/2118	5.38576372022272e-05	3.02249746167512e-05	3576/2919/3553/2921/5330/2920/3914/3569/2335/3554/3918/3915/1282/3913/10319/3911/5269/5869/929/2769/5290/3689/3315/6318/2776/5293/4843/1284/3910/5868/5747/733/1277/6317/1437/23236/5970/5582/5291/7040/4790/3912/8503	43
hsa04370	VEGF signaling pathway	Signal transduction	29/2118	5.39309920016942e-05	3.02661414236718e-05	5743/7422/6714/123745/5603/6300/5321/5880/842/9047/5881/283748/5290/255189/3315/25759/5879/5595/5293/5600/4846/10000/5747/1432/8877/5582/5291/5604/8503	29
