logCPM	PValue	FDR	log2FoldChange
ATP5A1	8.02202291351983	6.70148723381963e-34	1.42258547605362e-32	-1.4725
MALT1	5.10237753687233	9.57847247431432e-34	2.02624094427673e-32	-1.32
PSMC5	6.91925987809588	1.20403835439403e-33	2.54114730610606e-32	-1.2207
COQ2	4.82152484710602	1.33643586043087e-33	2.80436472046276e-32	-1.4673
CTPS1	6.75289112785124	1.40955291051648e-33	2.95100893742992e-32	-1.1471
FKBP3	7.09363333488556	1.54052976742918e-33	3.21783883686352e-32	-1.2207
POLR2E	6.34246838344965	1.61792929644286e-33	3.37179420500695e-32	-1.3368
ESYT1	6.00331686740724	2.04112179477465e-33	4.24404549947678e-32	-1.1767
CORO1C	7.93481306579289	2.06783280044117e-33	4.29469347040432e-32	-1.1646
AP4S1	4.00769610011486	2.33006108060736e-33	4.82285658589207e-32	-1.7969
TPGS2	5.91926318124508	2.69054480774407e-33	5.55640113237282e-32	-1.2964
GOT2	7.7054653661266	2.76938230896926e-33	5.70630287049015e-32	-1.1875
CENPK	5.8311244472497	3.47982722697511e-33	7.13794672535478e-32	-1.1771
ZNF37A	5.19209206764721	3.52506440182634e-33	7.22147208948348e-32	-1.2593
PAPD5	5.86775505797525	4.32970669720295e-33	8.85141382577123e-32	-1.1654
CAV2	7.84160347622626	4.4386354201438e-33	9.06395170359565e-32	-1.2049
WDR77	5.94424555254768	4.84164559870941e-33	9.86485290737042e-32	-1.2538
POLE3	7.30615394197324	5.31873022055026e-33	1.08007496002631e-31	-1.5228
CIRH1A	5.38181869469048	5.73623007720576e-33	1.16227099100409e-31	-1.4362
EDIL3	5.88321158046498	6.29864310981979e-33	1.27199146695653e-31	-1.2632
DYNLL1	6.61043911442431	7.56151622125833e-33	1.52365386462795e-31	-1.4238
MBOAT2	6.36457105371019	7.8854232832623e-33	1.58542166805327e-31	-1.2549
NCL	10.8598392844773	8.57655192054089e-33	1.7224810985852e-31	-1.7708
DNMT1	8.29593020236836	8.76132801122786e-33	1.75572781748601e-31	-1.2623
ASF1B	4.6546866985995	1.36472635574854e-32	2.71399175931866e-31	-1.5883
SGTA	5.50826966105125	1.39072658996178e-32	2.7626882074366e-31	-1.6057
KIF20B	6.75765769610566	1.46082424787397e-32	2.89878342056382e-31	-1.2634
FEN1	6.48362171957051	1.50123300495021e-32	2.97573395639207e-31	-1.1438
HSPD1	10.3557845883377	1.56979628415424e-32	3.10826474658566e-31	-1.2971
SAMD4A	5.80470868002667	1.63268879674125e-32	3.22929216395538e-31	-1.1893
